mode,epoch,loss
training, 1, 1471.98
training, 2, 1387.40
training, 3, 1332.31
training, 4, 1313.58
training, 5, 1303.59
training, 6, 1296.39
training, 7, 1289.82
training, 8, 1285.52
training, 9, 1282.26
training, 10,1278.81
test, 1, 1419.86
test, 2, 1345.55
test, 3, 1315.34
test, 4, 1301.56
test, 5, 1296.45
test, 6, 1286.09
test, 7, 1289.55
test, 8, 1277.60
test, 9, 1276.36
test, 10,1271.96
